world_cup_year,date,stage,home_team,away_team,score_original_home,score_original_away,score_90_home,score_90_away,has_extra_time,has_penalty_shootout,score_corrected,city,country,neutral,verification_source,verification_note
2014,2014-06-24,Group stage,Greece,Ivory Coast,2,1,2,1,False,False,False,Fortaleza,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-24,Group stage,Italy,Uruguay,0,1,0,1,False,False,False,Natal,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-24,Group stage,Japan,Colombia,1,4,1,4,False,False,False,Cuiabá,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-25,Group stage,Bosnia and Herzegovina,Iran,3,1,3,1,False,False,False,Salvador,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-25,Group stage,Ecuador,France,0,0,0,0,False,False,False,Rio de Janeiro,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-25,Group stage,Honduras,Switzerland,0,3,0,3,False,False,False,Manaus,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-25,Group stage,Nigeria,Argentina,2,3,2,3,False,False,False,Porto Alegre,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-26,Group stage,Algeria,Russia,1,1,1,1,False,False,False,Curitiba,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-26,Group stage,Portugal,Ghana,2,1,2,1,False,False,False,Brasília,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-26,Group stage,South Korea,Belgium,0,1,0,1,False,False,False,São Paulo,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-26,Group stage,United States,Germany,0,1,0,1,False,False,False,Recife,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-28,Round of 16,Brazil,Chile,1,1,1,1,True,True,False,Belo Horizonte,Brazil,False,https://github.com/openfootball/worldcup.json/blob/master/2014/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2014,2014-06-28,Round of 16,Colombia,Uruguay,2,0,2,0,False,False,False,Rio de Janeiro,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-29,Round of 16,Costa Rica,Greece,1,1,1,1,True,True,False,Recife,Brazil,True,https://github.com/openfootball/worldcup.json/blob/master/2014/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2014,2014-06-29,Round of 16,Netherlands,Mexico,2,1,2,1,False,False,False,Fortaleza,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
